name,code
通信,sw_tx
传媒,sw_cm
计算机,sw_jsj
国防军工,sw_gfjg
机械设备,sw_jxsb
电气设备,sw_dqsb
建筑装饰,sw_jzzs
建筑材料,sw_jzcl
非银金融,sw_fyjr
银行,sw_yx
休闲服务,sw_xxfw
商业贸易,sw_symy
房地产,sw_fdc
交通运输,sw_jtys
公用事业,sw_gysy
医药生物,sw_yysw
轻工制造,sw_qgzz
纺织服装,sw_fzfz
食品饮料,sw_spyl
家用电器,sw_jydq
汽车,sw_qc
电子,sw_dz
有色金属,sw_ysjs
钢铁,sw_gt
化工,sw_hg
采掘,sw_cj
农林牧渔,sw_nlmy
综合,sw_zh
