name,code
北京,diyu_1100
天津,diyu_1200
河北,diyu_1300
山西,diyu_1400
内蒙古,diyu_1500
辽宁,diyu_2100
吉林,diyu_2200
黑龙江,diyu_2300
上海,diyu_3100
江苏,diyu_3200
浙江,diyu_3300
安徽,diyu_3400
福建,diyu_3500
江西,diyu_3600
山东,diyu_3700
河南,diyu_4100
湖北,diyu_4200
湖南,diyu_4300
广东,diyu_4400
广州,diyu_4401
深圳,diyu_4410
广西,diyu_4500
海南,diyu_4600
四川,diyu_5100
贵州,diyu_5200
云南,diyu_5300
西藏,diyu_5400
重庆,diyu_5500
陕西,diyu_6100
甘肃,diyu_6200
青海,diyu_6300
宁夏,diyu_6400
新疆,diyu_6500
